time_x,x,y,z,roll,pitch,yaw,xdot,ydot,zdot,p,q,r,Gap,time_u,thrust,roll angle,pitch angle,yaw angle
139.7,5.01684993,-1.869392637,0.051038674,0.122199931,0.098026785,-0.201788523,0.149379163,-0.434447532,-2.219274419,0.103085243,0.02278171,0.029895857,,139.7,4.704904631,-0.001838239,-0.000920993,0.001376391
139.8,5.040200853,-1.884334391,-0.120895243,0.13828384,0.10528355,-0.194270247,0.021375392,-0.211578073,-2.120638653,0.034005296,-0.021254633,-0.017042466,,139.8,4.658225383,-0.001136713,-0.00025205,0.003473125
139.9,5.02410094,-1.803608293,-0.164961901,0.132709326,0.108052395,-0.193094076,-0.021205772,-0.008915521,-2.189801993,0.076698919,0.018401472,0.051500953,,139.9,4.689346959,-0.002286436,-0.0012009,0.001143015
140,4.984481465,-1.758284631,-0.336912308,0.134169644,0.102477672,-0.183994936,-0.140460267,0.095132086,-2.218538204,0.006435174,-0.041609506,-0.012508858,,140,4.716100858,-0.001121415,6.52681E-05,0.003925064
140.1,4.925918669,-1.722869266,-0.48729618,0.098334379,0.06975161,-0.217309758,-0.217621445,0.226902614,-2.237633583,0.04391922,-0.001806331,0.047933855,,140.1,4.717674459,-0.001355572,-0.000164131,0.003002886
140.2,4.915892419,-1.630997402,-0.602366053,0.144246159,0.11244524,-0.162755887,-0.155269126,0.293746513,-2.248026151,0.055435693,0.010291572,0.058293528,,140.2,4.782951393,-0.002857816,-0.001125366,0.001879872
140.3,4.904462518,-1.605334025,-0.782037413,0.134964885,0.099472573,-0.172883011,-0.353347539,0.529351938,-2.229910883,-0.028730052,-0.048381186,0.023884731,,140.3,4.777585438,-0.001381379,0.000197367,0.003554897
140.4,4.836340882,-1.468129471,-0.856900252,0.118165941,0.093537063,-0.164900747,-0.363581564,0.676149364,-2.252179263,0.042719935,0.017135166,0.082578392,,140.4,4.785423222,-0.002835378,-0.001007779,0.001917678
140.5,4.80340053,-1.376672977,-1.013106315,0.146034987,0.114898078,-0.141847694,-0.435039847,0.758152153,-2.27369791,-0.027994971,-0.038422377,0.048867662,,140.5,4.838046309,-0.002308601,-0.000232126,0.003126011
140.6,4.740139024,-1.306194686,-1.171761061,0.106848716,0.083056504,-0.159649639,-0.583222671,0.965899523,-2.266206801,-0.021196806,-0.019564943,0.073706322,,140.6,4.838385545,-0.001991273,-0.000147927,0.002546867
140.7,4.639888404,-1.178289085,-1.296263006,0.099028729,0.080205104,-0.154847307,-0.601015554,0.975074926,-2.279019399,-0.021655179,-0.026787896,0.059338161,,140.7,4.867008857,-0.001977083,0.000103426,0.003185678
140.8,4.624475325,-1.081505558,-1.435457177,0.124732575,0.103056481,-0.129756283,-0.615790187,1.107169422,-2.241423487,-0.004556327,0.003388186,0.102059942,,140.8,4.876981101,-0.003269386,-0.000647021,0.003005092
140.9,4.544633604,-0.994472292,-1.587122436,0.101491946,0.08409728,-0.13714233,-0.795236314,1.25070297,-2.291118646,-0.092599749,-0.054873906,0.079738147,,140.9,4.937125399,-0.001316174,0.00055735,0.002478728
141,4.448651341,-0.840699093,-1.710454365,0.077399116,0.076519979,-0.122342777,-0.801499747,1.338270475,-2.212315984,-0.00301556,0.005518479,0.088190589,,141,4.904932591,-0.00289182,-0.000345219,0.003209202
141.1,4.380749877,-0.735013822,-1.837453357,0.101809701,0.088741197,-0.12692145,-0.876905161,1.343388075,-2.248851141,-0.08588677,-0.042221051,0.100735738,,141.1,4.965826164,-0.001942094,0.000470053,0.002974258
141.2,4.320897365,-0.620371351,-1.972866093,0.084882676,0.088915812,-0.092723437,-0.934649218,1.54847345,-2.194126164,-0.035772275,0.006726143,0.120091605,,141.2,4.961551821,-0.003030149,-0.000281688,0.003425237
